date,dust
2014-08-01 00:00:00,44.73
2014-08-01 01:00:00,6.09
2014-08-01 02:00:00,6.6
2014-08-01 03:00:00,33.9399
2014-08-01 04:00:00,0.86
2014-08-01 05:00:00,19.6
2014-08-01 06:00:00,16.53
2014-08-01 07:00:00,98.9199
2014-08-01 08:00:00,7.49
2014-08-01 09:00:00,2.63
2014-08-01 10:00:00,9.65
2014-08-01 11:00:00,5.67
2014-08-01 12:00:00,16.87
2014-08-01 13:00:00,10.82
2014-08-01 14:00:00,111.83
2014-08-01 15:00:00,144.83
2014-08-01 16:00:00,0.36
2014-08-01 17:00:00,7.22
2014-08-01 18:00:00,63.24
2014-08-01 19:00:00,245.19
2014-08-01 20:00:00,22.67
2014-08-01 21:00:00,10.29
2014-08-01 22:00:00,15.04
2014-08-01 23:00:00,1.1
2014-08-02 00:00:00,41.48
2014-08-02 01:00:00,27.46
2014-08-02 02:00:00,20.47
2014-08-02 03:00:00,14.61
2014-08-02 04:00:00,30.6
2014-08-02 05:00:00,35.1
2014-08-02 06:00:00,46.46
2014-08-02 07:00:00,107.82
2014-08-02 08:00:00,35.4399
2014-08-02 09:00:00,3.11
2014-08-02 10:00:00,8.45
2014-08-02 11:00:00,5.6
2014-08-02 12:00:00,13.93
2014-08-02 13:00:00,21.46
2014-08-02 14:00:00,13.49
2014-08-02 15:00:00,30.68
2014-08-02 16:00:00,8.39
2014-08-02 17:00:00,15.26
2014-08-02 18:00:00,23.87
2014-08-02 19:00:00,50.74
2014-08-02 20:00:00,79.95
2014-08-02 21:00:00,93.21
2014-08-02 22:00:00,23.57
2014-08-02 23:00:00,77.5
2014-08-03 00:00:00,84.25
2014-08-03 01:00:00,17.39
2014-08-03 02:00:00,69.72
2014-08-03 03:00:00,63.39
2014-08-03 04:00:00,49.96
2014-08-03 05:00:00,34.81
2014-08-03 06:00:00,87.1499
2014-08-03 07:00:00,30.88
2014-08-03 08:00:00,11.7
2014-08-03 09:00:00,20.65
2014-08-03 10:00:00,80.4199
2014-08-03 11:00:00,19.45
2014-08-03 12:00:00,53.79
2014-08-03 13:00:00,40.03
2014-08-03 14:00:00,37.1299
2014-08-03 15:00:00,19.08
2014-08-03 16:00:00,27.76
2014-08-03 17:00:00,33.1299
2014-08-03 18:00:00,50.5099
2014-08-03 19:00:00,68.1899
2014-08-03 20:00:00,216.41
2014-08-03 21:00:00,138.74
2014-08-03 22:00:00,61.37
2014-08-03 23:00:00,37.6299
2014-08-04 00:00:00,3.63
2014-08-04 01:00:00,25.4
2014-08-04 02:00:00,64.2899
2014-08-04 03:00:00,14.42
2014-08-04 04:00:00,48.05
2014-08-04 05:00:00,30.33
2014-08-04 06:00:00,46.46
2014-08-04 07:00:00,85.23
2014-08-04 08:00:00,27.63
2014-08-04 09:00:00,0.42
2014-08-04 10:00:00,32.92
2014-08-04 11:00:00,13.38
2014-08-04 12:00:00,48.58
2014-08-04 13:00:00,28.55
2014-08-04 14:00:00,10.92
2014-08-04 15:00:00,17.46
2014-08-04 16:00:00,18.09
2014-08-04 17:00:00,21.03
2014-08-04 18:00:00,37.08
2014-08-04 19:00:00,54.53
2014-08-04 20:00:00,68.6399
2014-08-04 21:00:00,43.95
2014-08-04 22:00:00,51.8199
2014-08-04 23:00:00,61.54
2014-08-05 00:00:00,85.0399
2014-08-05 01:00:00,135.98
2014-08-05 02:00:00,103.82
2014-08-05 03:00:00,95.11
2014-08-05 04:00:00,71.34
2014-08-05 05:00:00,71.7799
2014-08-05 06:00:00,47.81
2014-08-05 07:00:00,28.13
2014-08-05 08:00:00,16.28
2014-08-05 09:00:00,15.58
2014-08-05 10:00:00,25.54
2014-08-05 11:00:00,25.48
2014-08-05 12:00:00,13.65
2014-08-05 13:00:00,46.14
2014-08-05 14:00:00,29.35
2014-08-05 15:00:00,10.14
2014-08-05 16:00:00,25.93
2014-08-05 17:00:00,54.08
2014-08-05 18:00:00,66.09
2014-08-05 19:00:00,112.5
2014-08-05 20:00:00,52.55
2014-08-05 21:00:00,16.83
2014-08-05 22:00:00,35.24
2014-08-05 23:00:00,71.62
2014-08-06 00:00:00,68.7999
2014-08-06 01:00:00,55.53
2014-08-06 02:00:00,24.92
2014-08-06 03:00:00,45.16
2014-08-06 04:00:00,35.3199
2014-08-06 05:00:00,43.37
2014-08-06 06:00:00,119.01
2014-08-06 07:00:00,59.87
2014-08-06 08:00:00,50.03
2014-08-06 09:00:00,23.05
2014-08-06 10:00:00,11.51
2014-08-06 11:00:00,30.83
2014-08-06 12:00:00,30.05
2014-08-06 13:00:00,11.13
2014-08-06 14:00:00,55.85
2014-08-06 15:00:00,25.37
2014-08-06 16:00:00,6.99
2014-08-06 17:00:00,79.5699
2014-08-06 18:00:00,166.11
2014-08-06 19:00:00,101.72
2014-08-06 20:00:00,37.61
2014-08-06 21:00:00,23.29
2014-08-06 22:00:00,21.66
2014-08-06 23:00:00,14.46
2014-08-07 00:00:00,22.4
2014-08-07 01:00:00,53.3199
2014-08-07 02:00:00,68.12
2014-08-07 03:00:00,54.1299
2014-08-07 04:00:00,55.74
2014-08-07 05:00:00,71.5399
2014-08-07 06:00:00,114.02
2014-08-07 07:00:00,175.39
2014-08-07 08:00:00,158.04
2014-08-07 09:00:00,99.2799
2014-08-07 10:00:00,117.4
2014-08-07 11:00:00,70.9399
2014-08-07 12:00:00,24.86
2014-08-07 13:00:00,32.28
2014-08-07 14:00:00,36.4
2014-08-07 15:00:00,38.68
2014-08-07 16:00:00,31.69
2014-08-07 17:00:00,75.5
2014-08-07 18:00:00,70.3799
2014-08-07 19:00:00,115.37
2014-08-07 20:00:00,96.46
2014-08-07 21:00:00,44.5699
2014-08-07 22:00:00,0.62
2014-08-07 23:00:00,14.19
2014-08-08 00:00:00,30.73
2014-08-08 01:00:00,33.03
2014-08-08 02:00:00,67.0199
2014-08-08 03:00:00,63.58
2014-08-08 04:00:00,99.6499
2014-08-08 05:00:00,122.97
2014-08-08 06:00:00,106.68
2014-08-08 07:00:00,71.2599
2014-08-08 08:00:00,26.52
2014-08-08 09:00:00,8.11
2014-08-08 10:00:00,29.43
2014-08-08 11:00:00,62.9399
2014-08-08 12:00:00,60.4
2014-08-08 13:00:00,22.02
2014-08-08 14:00:00,66.0599
2014-08-08 15:00:00,66.1
2014-08-08 16:00:00,340.33
2014-08-08 17:00:00,6.37
2014-08-08 18:00:00,80.5099
2014-08-08 19:00:00,6.73
2014-08-08 20:00:00,111.5
2014-08-08 21:00:00,128.69
2014-08-08 22:00:00,55.54
2014-08-08 23:00:00,62.6299
2014-08-09 00:00:00,21.18
2014-08-09 01:00:00,82.72
2014-08-09 02:00:00,102.68
2014-08-09 03:00:00,89.7699
2014-08-09 04:00:00,115.25
2014-08-09 05:00:00,152.31
2014-08-09 06:00:00,111.27
2014-08-09 07:00:00,111.2
2014-08-09 08:00:00,99.4199
2014-08-09 09:00:00,45.86
2014-08-09 10:00:00,165.85
2014-08-09 11:00:00,98.36
2014-08-09 12:00:00,69.0699
2014-08-09 13:00:00,59.87
2014-08-09 14:00:00,51.7
2014-08-09 15:00:00,47.6299
2014-08-09 16:00:00,41.6299
2014-08-09 17:00:00,41.34
2014-08-09 18:00:00,54.09
2014-08-09 19:00:00,61.81
2014-08-09 20:00:00,75.2999
2014-08-09 21:00:00,43.9399
2014-08-09 22:00:00,34.33
2014-08-09 23:00:00,95.6699
2014-08-10 00:00:00,64.8999
2014-08-10 01:00:00,57.5
2014-08-10 02:00:00,40.98
2014-08-10 03:00:00,40.75
2014-08-10 04:00:00,55.9
2014-08-10 05:00:00,86.99
2014-08-10 06:00:00,62.75
2014-08-10 07:00:00,75.2999
2014-08-10 08:00:00,3.07
2014-08-10 09:00:00,0.46
2014-08-10 10:00:00,54.68
2014-08-10 11:00:00,97.7699
2014-08-10 12:00:00,66.11
2014-08-10 13:00:00,58.5
2014-08-10 14:00:00,19.39
2014-08-10 15:00:00,16.27
2014-08-10 16:00:00,31.74
2014-08-10 17:00:00,26.12
2014-08-10 18:00:00,42.31
2014-08-10 19:00:00,52.05
2014-08-10 20:00:00,105.28
2014-08-10 21:00:00,93.47
2014-08-10 22:00:00,43.03
2014-08-10 23:00:00,57.74
2014-08-11 00:00:00,34.04
2014-08-11 01:00:00,69.2899
2014-08-11 02:00:00,101.56
2014-08-11 03:00:00,70.1399
2014-08-11 04:00:00,90.0199
2014-08-11 05:00:00,46.14
2014-08-11 06:00:00,23.14
2014-08-11 07:00:00,43.17
2014-08-11 08:00:00,6.25
2014-08-11 09:00:00,19.38
2014-08-11 10:00:00,55.1299
2014-08-11 11:00:00,34.73
2014-08-11 12:00:00,55.78
2014-08-11 13:00:00,47.16
2014-08-11 14:00:00,45.2599
2014-08-11 15:00:00,24.69
2014-08-11 16:00:00,34.45
2014-08-11 17:00:00,30.19
2014-08-11 18:00:00,43.27
2014-08-11 19:00:00,60.96
2014-08-11 20:00:00,87.3899
2014-08-11 21:00:00,106.93
2014-08-11 22:00:00,14.88
2014-08-11 23:00:00,45.78
2014-08-12 00:00:00,34.8199
2014-08-12 01:00:00,48.9399
2014-08-12 02:00:00,48.64
2014-08-12 03:00:00,43.03
2014-08-12 04:00:00,65.0699
2014-08-12 05:00:00,94.9299
2014-08-12 06:00:00,57.68
2014-08-12 07:00:00,38.06
2014-08-12 08:00:00,42.89
2014-08-12 09:00:00,10.13
2014-08-12 10:00:00,96.48
2014-08-12 11:00:00,85.99
2014-08-12 12:00:00,83.11
2014-08-12 13:00:00,52.39
2014-08-12 14:00:00,38.98
2014-08-12 15:00:00,18.67
2014-08-12 16:00:00,21.91
2014-08-12 17:00:00,25.6
2014-08-12 18:00:00,25.42
2014-08-12 19:00:00,53.81
2014-08-12 20:00:00,88.99
2014-08-12 21:00:00,125.97
2014-08-12 22:00:00,63.29
2014-08-12 23:00:00,42.7599
2014-08-13 00:00:00,49.71
2014-08-13 01:00:00,37.6299
2014-08-13 02:00:00,50.1899
2014-08-13 03:00:00,82.0399
2014-08-13 04:00:00,34.74
2014-08-13 05:00:00,42.61
2014-08-13 06:00:00,74.5699
2014-08-13 07:00:00,83.7599
2014-08-13 08:00:00,55.05
2014-08-13 09:00:00,7.68
2014-08-13 10:00:00,34.48
2014-08-13 11:00:00,19.71
2014-08-13 12:00:00,19.59
2014-08-13 13:00:00,30.09
2014-08-13 14:00:00,17.42
2014-08-13 15:00:00,31.09
2014-08-13 16:00:00,22.78
2014-08-13 17:00:00,28.51
2014-08-13 18:00:00,43.62
2014-08-13 19:00:00,68.11
2014-08-13 20:00:00,92.1699
2014-08-13 21:00:00,20.46
2014-08-13 22:00:00,42.1
2014-08-13 23:00:00,41.4
2014-08-14 00:00:00,89.1599
2014-08-14 01:00:00,81.8999
2014-08-14 02:00:00,35.23
2014-08-14 03:00:00,36.77
2014-08-14 04:00:00,46.6299
2014-08-14 05:00:00,61.41
2014-08-14 06:00:00,50.2
2014-08-14 07:00:00,51.58
2014-08-14 08:00:00,15.19
2014-08-14 09:00:00,3.94
2014-08-14 10:00:00,52.21
2014-08-14 11:00:00,45.7599
2014-08-14 12:00:00,42.8799
2014-08-14 13:00:00,35.56
2014-08-14 14:00:00,37.08
2014-08-14 15:00:00,29.47
2014-08-14 16:00:00,33.06
2014-08-14 17:00:00,32.36
2014-08-14 18:00:00,44.74
2014-08-14 19:00:00,72.21
2014-08-14 20:00:00,116.69
2014-08-14 21:00:00,84.6699
2014-08-14 22:00:00,74.2699
2014-08-14 23:00:00,73.5199
2014-08-15 00:00:00,55.8
2014-08-15 01:00:00,58.1
2014-08-15 02:00:00,64.58
2014-08-15 03:00:00,55.22
2014-08-15 04:00:00,56.36
2014-08-15 05:00:00,59.55
2014-08-15 06:00:00,62.9399
2014-08-15 07:00:00,62.0699
2014-08-15 08:00:00,31.18
2014-08-15 09:00:00,8.42
2014-08-15 10:00:00,41.71
